Scenario,Base,KLSR,MeanDelta,PValue
S1,CSO,CSO_KLSR,115.163637901912,0.0817418442205619
S1,JADE,JADE_KLSR,23.52420959645,0.0626828124995798
S1,GA,GA_KLSR,74.4223723795148,0.0598356013913493
S1,PSO,PSO_KLSR,61.951046194471,0.205888223056074
S2,CSO,CSO_KLSR,96.1235186277686,0.00984214240169316
S2,JADE,JADE_KLSR,28.8410211875538,0.0752133122154768
S2,GA,GA_KLSR,3.50239165647559,0.165026565624696
S2,PSO,PSO_KLSR,51.6369883203341,0.171376388775022
S3,CSO,CSO_KLSR,63.7410351480126,0.0114835956362883
S3,JADE,JADE_KLSR,19.4226897152871,0.0056671726914978
S3,GA,GA_KLSR,94.5704732099869,0.382034163022457
S3,PSO,PSO_KLSR,51.3073881875899,0.566634652178118
